Month (abbr),Year,Country/Area,집계(Growth Rate(%)),합계(Visitor Arrivals)
Feb.,2012,Malta,300,24
Jan.,2012,Malta,-9.0909090909090917,10
Dec.,2012,Mali,-50,7
Nov.,2012,Mali,-70.967741935483872,9
Oct.,2012,Mali,-65.853658536585371,14
Sep.,2012,Mali,-82.857142857142861,6
Aug.,2012,Mali,-56.25,7
Jul.,2012,Mali,-85.18518518518519,4
Jun.,2012,Mali,-78.94736842105263,4
May,2012,Mali,-37.5,5
Apr.,2012,Mali,-70,3
Mar.,2012,Mali,-33.333333333333329,10
Feb.,2012,Mali,-50,6
Jan.,2012,Mali,22.222222222222221,11
Dec.,2012,Maldives,-99.918703908019282,14
Nov.,2012,Maldives,-99.795649307844428,31
Oct.,2012,Maldives,-99.638288486987207,41
Sep.,2012,Maldives,-99.629315822918869,35
Aug.,2012,Maldives,-99.793121282648045,16
Jul.,2012,Maldives,-99.658444022770397,27
Jun.,2012,Maldives,-99.77501480165779,19
May,2012,Maldives,-99.937161259916735,8
Apr.,2012,Maldives,-99.918180330551465,10
Mar.,2012,Maldives,-99.872318692543416,15
Feb.,2012,Maldives,-99.836823497416376,12
Jan.,2012,Maldives,-99.898602974312752,9
Dec.,2012,Malaysia,172110,17221
Nov.,2012,Malaysia,56085.185185185182,15170
Oct.,2012,Malaysia,21698.076923076922,11335
Sep.,2012,Malaysia,25418.91891891892,9442
Aug.,2012,Malaysia,55142.857142857145,7734
Jul.,2012,Malaysia,31520,7905
Jun.,2012,Malaysia,64861.538461538461,8445
May,2012,Malaysia,42336.666666666664,12731
Apr.,2012,Malaysia,135700,12222
Mar.,2012,Malaysia,73325,11748
Feb.,2012,Malaysia,26164.285714285717,7354
Jan.,2012,Malaysia,20072.727272727272,8876
Dec.,2012,Malawi,-47.368421052631575,10
Nov.,2012,Malawi,285.71428571428572,27
Oct.,2012,Malawi,160,52
Sep.,2012,Malawi,131.25,37
Aug.,2012,Malawi,-41.666666666666671,14
Jul.,2012,Malawi,78.571428571428569,25
Jun.,2012,Malawi,225,13
May,2012,Malawi,500,30
Apr.,2012,Malawi,-40,9
Mar.,2012,Malawi,-23.809523809523807,16
Feb.,2012,Malawi,211.11111111111111,28
Jan.,2012,Malawi,388.88888888888886,44
Dec.,2012,Madagascar,-98.846387370977539,19
Nov.,2012,Madagascar,-99.372197309417047,7
Oct.,2012,Madagascar,-97.693194925028834,20
Sep.,2012,Madagascar,-98.632478632478637,16
Aug.,2012,Madagascar,-99.319342030629613,24
Jul.,2012,Madagascar,-99.355432780847139,14
Jun.,2012,Madagascar,-99.808612440191396,4
May,2012,Madagascar,-99.551166965888697,5
Apr.,2012,Madagascar,-98.897869213813365,15
Mar.,2012,Madagascar,-98.34905660377359,21
Feb.,2012,Madagascar,-99.101796407185631,9
Jan.,2012,Madagascar,-99.471830985915489,9
Dec.,2012,Macau,3194,1647
Nov.,2012,Macau,1152.8089887640449,1115
Oct.,2012,Macau,812.63157894736844,867
Sep.,2012,Macau,2027.2727272727273,1170
Aug.,2012,Macau,6085.9649122807023,3526
Jul.,2012,Macau,3002.8571428571427,2172
Jun.,2012,Macau,5125,2090
May,2012,Macau,2173.4693877551022,1114
Apr.,2012,Macau,2060.3174603174602,1361
Mar.,2012,Macau,2300,1272
Feb.,2012,Macau,3240,1002
Jan.,2012,Macau,5396.7741935483873,1704
Dec.,2012,Luxembourg,-42.528735632183903,50
Nov.,2012,Luxembourg,-19.090909090909094,89
Oct.,2012,Luxembourg,-43.452380952380956,95
Sep.,2012,Luxembourg,-68.023255813953483,55
Aug.,2012,Luxembourg,-34.482758620689658,57
Jul.,2012,Luxembourg,-6.666666666666667,70
Jun.,2012,Luxembourg,-64.285714285714292,40
May,2012,Luxembourg,-59.166666666666664,49
Apr.,2012,Luxembourg,-57.999999999999993,63
Mar.,2012,Luxembourg,-66.666666666666657,53
Feb.,2012,Luxembourg,-63.414634146341463,30
Jan.,2012,Luxembourg,-61.728395061728392,31
Dec.,2012,Lithuania,770,87
Nov.,2012,Lithuania,1000,110
Oct.,2012,Lithuania,500,168
Sep.,2012,Lithuania,2357.1428571428573,172
Aug.,2012,Lithuania,2075,87
Jul.,2012,Lithuania,1150,75
Jun.,2012,Lithuania,3633.3333333333335,112
May,2012,Lithuania,1900,120
Apr.,2012,Lithuania,1400,150
Mar.,2012,Lithuania,2171.4285714285716,159
Feb.,2012,Lithuania,1540,82
Jan.,2012,Lithuania,2600,81
Dec.,2012,Liechtenstein,-47.368421052631575,10
Nov.,2012,Liechtenstein,-62.962962962962962,10
Oct.,2012,Liechtenstein,0,28
Sep.,2012,Liechtenstein,-82.926829268292678,7
Aug.,2012,Liechtenstein,-75,4
Jul.,2012,Liechtenstein,-77.777777777777786,6
Jun.,2012,Liechtenstein,-90.322580645161281,3
May,2012,Liechtenstein,-73.91304347826086,6
Apr.,2012,Liechtenstein,-47.368421052631575,10
Mar.,2012,Liechtenstein,-46.153846153846153,7
Feb.,2012,Liechtenstein,-16.666666666666664,5
Jan.,2012,Liechtenstein,-70,3
Dec.,2012,Libya,216.66666666666666,19
Nov.,2012,Libya,350,27
Oct.,2012,Libya,-39.130434782608695,28
Sep.,2012,Libya,583.33333333333326,41
Aug.,2012,Libya,166.66666666666669,16
Jul.,2012,Libya,350,27
Jun.,2012,Libya,520,31
May,2012,Libya,91.666666666666657,23
Apr.,2012,Libya,,19
Mar.,2012,Libya,116.66666666666667,13
Feb.,2012,Libya,20,6
Jan.,2012,Libya,-9.0909090909090917,10
Dec.,2012,Liberia,200,6
Nov.,2012,Liberia,20,6
Oct.,2012,Liberia,253.84615384615384,46
Sep.,2012,Liberia,-14.285714285714285,6
Aug.,2012,Liberia,-45.454545454545453,6
Jul.,2012,Liberia,200,6
Jun.,2012,Liberia,-28.571428571428569,5
May,2012,Liberia,140,12
Apr.,2012,Liberia,-100,0
Mar.,2012,Liberia,50,6
Feb.,2012,Liberia,-16.666666666666664,5
Jan.,2012,Liberia,-15.384615384615385,11
Dec.,2012,Lesotho,-95.238095238095227,2
Nov.,2012,Lesotho,-93.055555555555557,5
Oct.,2012,Lesotho,-91.44736842105263,13
Sep.,2012,Lesotho,-93.333333333333329,7
Aug.,2012,Lesotho,-77.551020408163268,11
Jul.,2012,Lesotho,-96.078431372549019,2
Jun.,2012,Lesotho,-87.719298245614027,7
May,2012,Lesotho,-92.424242424242422,5
Apr.,2012,Lesotho,-98.550724637681171,1
Mar.,2012,Lesotho,-94.366197183098592,4
Feb.,2012,Lesotho,-86.04651162790698,6
Jan.,2012,Lesotho,-69.767441860465112,13
Dec.,2012,Lebanon,-67.1875,42
Nov.,2012,Lebanon,46.938775510204081,72
Oct.,2012,Lebanon,17.829457364341085,152
Sep.,2012,Lebanon,84.210526315789465,105
Aug.,2012,Lebanon,4.2553191489361702,49
Jul.,2012,Lebanon,-22.727272727272727,51
Jun.,2012,Lebanon,-24,57
May,2012,Lebanon,8.1967213114754092,66
Apr.,2012,Lebanon,-6.756756756756757,69
Mar.,2012,Lebanon,-39.316239316239319,71
Feb.,2012,Lebanon,72,43
Jan.,2012,Lebanon,4.8780487804878048,43
Dec.,2012,Latvia,-38.755980861244019,128
Nov.,2012,Latvia,-77.828054298642542,49
Oct.,2012,Latvia,-65.782493368700273,129
Sep.,2012,Latvia,-78.160919540229884,57
Aug.,2012,Latvia,-81.422924901185766,47
Jul.,2012,Latvia,-66.497461928934015,66
Jun.,2012,Latvia,-45.652173913043477,75
May,2012,Latvia,-62.804878048780488,61
Apr.,2012,Latvia,-69.795918367346943,74
Mar.,2012,Latvia,-55.51330798479087,117
Feb.,2012,Latvia,-85.632183908045974,25
Jan.,2012,Latvia,-76.436781609195407,41
Dec.,2012,Laos,533.33333333333326,209
Nov.,2012,Laos,268.33333333333331,221
Oct.,2012,Laos,518.03278688524597,377
Sep.,2012,Laos,243.42105263157893,261
Aug.,2012,Laos,308.06451612903226,253
Jul.,2012,Laos,310.41666666666663,197
Jun.,2012,Laos,193.61702127659575,138
May,2012,Laos,241.66666666666666,164
Apr.,2012,Laos,528.20512820512818,245
Mar.,2012,Laos,331.14754098360658,263
Feb.,2012,Laos,314.28571428571428,174
Jan.,2012,Laos,241.17647058823528,174
Dec.,2012,Kyrgyzstan,-32.653061224489797,33
Nov.,2012,Kyrgyzstan,-18.918918918918919,60
Oct.,2012,Kyrgyzstan,-50.806451612903224,61
Sep.,2012,Kyrgyzstan,-26.923076923076923,76
Aug.,2012,Kyrgyzstan,-22.5,62
Jul.,2012,Kyrgyzstan,0,48
Jun.,2012,Kyrgyzstan,-55.238095238095241,47
May,2012,Kyrgyzstan,-31.428571428571427,48
Apr.,2012,Kyrgyzstan,-20.408163265306122,39
Mar.,2012,Kyrgyzstan,-59.602649006622521,61
Feb.,2012,Kyrgyzstan,-10.638297872340425,42
Jan.,2012,Kyrgyzstan,-31.081081081081081,51
Dec.,2012,Kuwait,4800,49
Nov.,2012,Kuwait,1750,74
Oct.,2012,Kuwait,275.75757575757575,124
Sep.,2012,Kuwait,511.76470588235293,104
Aug.,2012,Kuwait,1900,80
Jul.,2012,Kuwait,380,48
Jun.,2012,Kuwait,2525,105
May,2012,Kuwait,337.5,70
Apr.,2012,Kuwait,1533.3333333333335,49
Mar.,2012,Kuwait,7450,151
Feb.,2012,Kuwait,4600,47
Jan.,2012,Kuwait,3600,74
Dec.,2012,Kiribati,-98.734177215189874,1
Nov.,2012,Kiribati,-97.484276729559753,4
Oct.,2012,Kiribati,-81.767955801104975,33
Sep.,2012,Kiribati,-86.178861788617894,17
Aug.,2012,Kiribati,-96.491228070175438,4
Jul.,2012,Kiribati,-90.099009900990097,10
Jun.,2012,Kiribati,-93.939393939393938,4
May,2012,Kiribati,-81.818181818181827,16
Apr.,2012,Kiribati,-97,3
Mar.,2012,Kiribati,-98.648648648648646,2
Feb.,2012,Kiribati,-99.009900990099013,1
Jan.,2012,Kiribati,-97.849462365591393,2
Dec.,2012,Kenya,-34.166666666666664,79
Nov.,2012,Kenya,-34.83606557377049,159
Oct.,2012,Kenya,18.300653594771241,181
Sep.,2012,Kenya,-22.641509433962266,123
Aug.,2012,Kenya,-28.30188679245283,114
Jul.,2012,Kenya,-53.669724770642205,101
Jun.,2012,Kenya,-63.934426229508205,66
May,2012,Kenya,-42.857142857142854,88
Apr.,2012,Kenya,-54.751131221719462,100
Mar.,2012,Kenya,-15.428571428571427,148
Feb.,2012,Kenya,-1.9417475728155338,101
Jan.,2012,Kenya,-46.551724137931032,93
Dec.,2012,Kazakhstan,62.162162162162161,120
Nov.,2012,Kazakhstan,204.99999999999997,244
Oct.,2012,Kazakhstan,23.387096774193548,153
Sep.,2012,Kazakhstan,33.613445378151262,159
Aug.,2012,Kazakhstan,205.76923076923075,159
Jul.,2012,Kazakhstan,172.5,218
Jun.,2012,Kazakhstan,27.972027972027973,183
May,2012,Kazakhstan,58.762886597938149,154
Apr.,2012,Kazakhstan,116.66666666666667,221
Mar.,2012,Kazakhstan,86.170212765957444,175
Feb.,2012,Kazakhstan,63.492063492063487,103
Jan.,2012,Kazakhstan,120.25316455696202,174
Dec.,2012,Jordan,146.66666666666666,74
Nov.,2012,Jordan,166.66666666666669,80
Oct.,2012,Jordan,129.62962962962962,124
Sep.,2012,Jordan,83.07692307692308,119
Aug.,2012,Jordan,-57.377049180327866,52
Jul.,2012,Jordan,45.454545454545453,80
Jun.,2012,Jordan,320.58823529411768,143
May,2012,Jordan,162.16216216216216,97
Apr.,2012,Jordan,70,102
Mar.,2012,Jordan,42.424242424242422,94
Feb.,2012,Jordan,125,63
Jan.,2012,Jordan,0,79
Dec.,2012,Jamaica,-99.373956594323872,30
Nov.,2012,Jamaica,-99.372384937238493,30
Oct.,2012,Jamaica,-99.111842105263165,54
Sep.,2012,Jamaica,-98.483080513418912,65
Aug.,2012,Jamaica,-97.716638592550993,122
Jul.,2012,Jamaica,-98.712848116077694,55
Jun.,2012,Jamaica,-98.978978978978987,34
May,2012,Jamaica,-99.059720457433286,37
Apr.,2012,Jamaica,-98.695368558382256,60
Mar.,2012,Jamaica,-98.649201801064265,66
Feb.,2012,Jamaica,-98.976608187134502,28
Jan.,2012,Jamaica,-97.139753801593059,79
Dec.,2012,Italy,669.18138041733539,4792
Nov.,2012,Italy,382.82828282828285,4780
Oct.,2012,Italy,357.83132530120486,6080
Sep.,2012,Italy,202.61299435028249,4285
Aug.,2012,Italy,703.45864661654139,5343
Jul.,2012,Italy,457.83289817232378,4273
Jun.,2012,Italy,428.57142857142856,3330
May,2012,Italy,394.96855345911951,3935
Apr.,2012,Italy,316.19909502262442,4599
Mar.,2012,Italy,428.78787878787881,4886
Feb.,2012,Italy,329.51334379905808,2736
Jan.,2012,Italy,417.22846441947564,2762
Dec.,2012,Israel,-23.745410036719704,623
Nov.,2012,Israel,19.709794437726725,990
Oct.,2012,Israel,18.254674977738201,1328
Sep.,2012,Israel,44.933469805527125,1416
Aug.,2012,Israel,1.9938650306748466,665
Jul.,2012,Israel,-13.446327683615818,766
Jun.,2012,Israel,-24.731182795698924,630
May,2012,Israel,-4.5618247298919572,795
Apr.,2012,Israel,15.104166666666666,1105
Mar.,2012,Israel,-0.43103448275862064,924
Feb.,2012,Israel,-3.7764350453172204,637
Jan.,2012,Israel,-37.689614935822633,534
Dec.,2012,Ireland,934.17721518987344,817
Nov.,2012,Ireland,702.91262135922329,827
Oct.,2012,Ireland,669.17808219178085,1123
Sep.,2012,Ireland,408.85416666666669,977
Aug.,2012,Ireland,769.33333333333337,652
Jul.,2012,Ireland,1261.5384615384614,885
Jun.,2012,Ireland,697.14285714285711,837
May,2012,Ireland,903.61445783132535,833
Apr.,2012,Ireland,2426.3157894736842,960
Mar.,2012,Ireland,1755.9999999999998,928
Feb.,2012,Ireland,918.46153846153834,662
Jan.,2012,Ireland,503.52112676056339,857
Dec.,2012,Iraq,-66.38297872340425,79
Nov.,2012,Iraq,-70.23121387283237,103
Oct.,2012,Iraq,-65.807962529273993,146
Sep.,2012,Iraq,-61.752988047808763,192
Aug.,2012,Iraq,-80.670103092783506,75
Jul.,2012,Iraq,-81.213872832369944,65
Jun.,2012,Iraq,-72.868217054263567,105
May,2012,Iraq,-73.05194805194806,83
Apr.,2012,Iraq,-89.473684210526315,38
Mar.,2012,Iraq,-87.654320987654316,50
Feb.,2012,Iraq,-71.861471861471856,65
Jan.,2012,Iraq,-43.426294820717132,142
Dec.,2012,Iran,-98.240095858608555,235
Nov.,2012,Iran,-95.493618129721284,346
Oct.,2012,Iran,-95.094209558823522,427
Sep.,2012,Iran,-93.721860930465226,502
Aug.,2012,Iran,-96.896000000000001,388
Jul.,2012,Iran,-95.552127522817841,346
Jun.,2012,Iran,-95.90519521743731,387
May,2012,Iran,-95.666854248733827,308
Apr.,2012,Iran,-96.237231603085263,361
Mar.,2012,Iran,-94.668948269053573,405
Feb.,2012,Iran,-94.945295404814004,231
Jan.,2012,Iran,-95.107212475633531,251
Dec.,2012,Indonesia,183.56338925461881,13353
Nov.,2012,Indonesia,25.621727748691097,7678
Oct.,2012,Indonesia,29.427509293680298,8704
Sep.,2012,Indonesia,26.219415943172848,7996
Aug.,2012,Indonesia,156.35767022149304,12500
Jul.,2012,Indonesia,37.852206273258901,7779
Jun.,2012,Indonesia,68.167259786476862,9451
May,2012,Indonesia,4.5755480358981898,7108
Apr.,2012,Indonesia,57.614588467225239,9594
Mar.,2012,Indonesia,35.563882940756599,7597
Feb.,2012,Indonesia,-4.9500831946755408,4570
Jan.,2012,Indonesia,-8.360128617363344,5130
Dec.,2012,India,13750,4709
Nov.,2012,India,14113.953488372093,6112
Oct.,2012,India,9240.2777777777774,6725
Sep.,2012,India,8698.6111111111113,6335
Aug.,2012,India,6966.666666666667,4876
Jul.,2012,India,13023.255813953489,5643
Jun.,2012,India,9589.6551724137935,5620
May,2012,India,10688.888888888889,6797
Apr.,2012,India,11384.905660377359,6087
Mar.,2012,India,5041.2844036697252,5604
Feb.,2012,India,6226.3157894736842,4808
Jan.,2012,India,13894.999999999998,5598
Dec.,2012,Iceland,-87.591240875912419,34
Nov.,2012,Iceland,-89.141414141414145,43
Oct.,2012,Iceland,-87.650085763293305,72
Sep.,2012,Iceland,-82.481751824817522,72
Aug.,2012,Iceland,-81.095890410958901,69
Jul.,2012,Iceland,-90.772532188841211,43
Jun.,2012,Iceland,-82.634730538922156,58
May,2012,Iceland,-82.5,63
Apr.,2012,Iceland,-87.073170731707322,53
Mar.,2012,Iceland,-74.413145539906097,109
Feb.,2012,Iceland,-69.841269841269835,76
Jan.,2012,Iceland,-84.251968503937007,40
Dec.,2012,Hungary,-99.386214466521807,274
Nov.,2012,Hungary,-98.906530443186526,396
Oct.,2012,Hungary,-98.276575617831384,583
Sep.,2012,Hungary,-98.869481501856697,411
Aug.,2012,Hungary,-99.176834081324287,365
Jul.,2012,Hungary,-99.094829260712487,466
Jun.,2012,Hungary,-99.244480636988783,334
May,2012,Hungary,-98.892000861777106,360
Apr.,2012,Hungary,-99.072733851999274,410
Mar.,2012,Hungary,-98.83892068683565,426
Feb.,2012,Hungary,-99.123264794906589,252
Jan.,2012,Hungary,-99.475802290785268,254
Dec.,2012,Hong Kong,247905.55555555556,44641
Nov.,2012,Hong Kong,134029.62962962964,36215
Oct.,2012,Hong Kong,84470,33828
Sep.,2012,Hong Kong,84446.511627906977,36355
Aug.,2012,Hong Kong,152800,44341
Jul.,2012,Hong Kong,197907.69230769231,51482
Jun.,2012,Hong Kong,169930.76923076925,44208
May,2012,Hong Kong,147586.36363636362,32491
Apr.,2012,Hong Kong,176764,44216
Mar.,2012,Hong Kong,174614.28571428571,36690
Feb.,2012,Hong Kong,221000,28743
Jan.,2012,Hong Kong,142414.70588235295,48455
Dec.,2012,Honduras,-28.000000000000004,18
Nov.,2012,Honduras,440.00000000000006,27
Oct.,2012,Honduras,33.333333333333329,40
Sep.,2012,Honduras,126.31578947368421,43
Aug.,2012,Honduras,222.22222222222223,29
Jul.,2012,Honduras,44.444444444444443,26
Jun.,2012,Honduras,136.36363636363635,26
May,2012,Honduras,1000,22
Apr.,2012,Honduras,316.66666666666663,25
Mar.,2012,Honduras,90.909090909090907,21
Feb.,2012,Honduras,160,13
Jan.,2012,Honduras,1033.3333333333335,34
Dec.,2012,Haiti,,25
Nov.,2012,Haiti,150,5
Oct.,2012,Haiti,172.72727272727272,30
Sep.,2012,Haiti,280,19
Aug.,2012,Haiti,200,9
Jul.,2012,Haiti,500,18
Jun.,2012,Haiti,175,11
May,2012,Haiti,0,2
Apr.,2012,Haiti,-40,6
Mar.,2012,Haiti,450,11
Feb.,2012,Haiti,150,5
Jan.,2012,Haiti,200,3
Dec.,2012,Guyana,,0
Nov.,2012,Guyana,100,2
Oct.,2012,Guyana,175,11
Sep.,2012,Guyana,400,5
Aug.,2012,Guyana,,3
Jul.,2012,Guyana,50,3
Jun.,2012,Guyana,,4
May,2012,Guyana,100,2
Apr.,2012,Guyana,900,10
Mar.,2012,Guyana,0,2
Feb.,2012,Guyana,,2
Jan.,2012,Guyana,0,1
Dec.,2012,Guinea-Bissau,-100,0
Nov.,2012,Guinea-Bissau,-80,1
Oct.,2012,Guinea-Bissau,-87.096774193548384,4
Sep.,2012,Guinea-Bissau,-90.909090909090907,1
Aug.,2012,Guinea-Bissau,-100,0
Jul.,2012,Guinea-Bissau,-71.428571428571431,2
Jun.,2012,Guinea-Bissau,-100,0
May,2012,Guinea-Bissau,-80,1
Apr.,2012,Guinea-Bissau,-87.5,1
Mar.,2012,Guinea-Bissau,-75,2
Feb.,2012,Guinea-Bissau,-100,0
Jan.,2012,Guinea-Bissau,-66.666666666666657,1
Dec.,2012,Guinea,-84,8
Nov.,2012,Guinea,-88.888888888888886,5
Oct.,2012,Guinea,-65.555555555555557,31
Sep.,2012,Guinea,-81.967213114754102,11
Aug.,2012,Guinea,-65.789473684210535,13
Jul.,2012,Guinea,-88.333333333333329,7
Jun.,2012,Guinea,-89.230769230769241,7
May,2012,Guinea,-88.372093023255815,5
Apr.,2012,Guinea,-82.97872340425532,8
Mar.,2012,Guinea,-78.94736842105263,8
Feb.,2012,Guinea,-82.758620689655174,5
Jan.,2012,Guinea,-89.285714285714292,3
Dec.,2012,Guatemala,,50
Nov.,2012,Guatemala,,45
Oct.,2012,Guatemala,2900,90
Sep.,2012,Guatemala,,61
Aug.,2012,Guatemala,,38
Jul.,2012,Guatemala,5900,60
Jun.,2012,Guatemala,,65
May,2012,Guatemala,2050,43
Apr.,2012,Guatemala,,47
Mar.,2012,Guatemala,,38
Feb.,2012,Guatemala,2800,29
Jan.,2012,Guatemala,2700,28
Dec.,2012,Grenada,-100,0
Nov.,2012,Grenada,-100,0
Oct.,2012,Grenada,-99.090909090909094,3
Sep.,2012,Grenada,-100,0
Aug.,2012,Grenada,-100,0
Jul.,2012,Grenada,-99.598393574297177,1
Jun.,2012,Grenada,-100,0
May,2012,Grenada,-99.170124481327804,2
Apr.,2012,Grenada,-100,0
Mar.,2012,Grenada,-100,0
Feb.,2012,Grenada,-99.431818181818173,1
Jan.,2012,Grenada,-99.599999999999994,1
Dec.,2012,Greece,371.69811320754718,250
Nov.,2012,Greece,306.94444444444446,293
Oct.,2012,Greece,112.90322580645163,330
Sep.,2012,Greece,164.40677966101697,312
Aug.,2012,Greece,8.2524271844660202,223
Jul.,2012,Greece,211.24999999999997,249
Jun.,2012,Greece,359.61538461538464,239
May,2012,Greece,270.76923076923077,241
Apr.,2012,Greece,507.8947368421052,231
Mar.,2012,Greece,324.24242424242425,280
Feb.,2012,Greece,70.873786407766986,176
Jan.,2012,Greece,187.35632183908047,250
Dec.,2012,Ghana,-99.272078011262181,53
Nov.,2012,Ghana,-99.345156889495229,72
Oct.,2012,Ghana,-98.79761073617253,155
Sep.,2012,Ghana,-98.823177420963404,118
Aug.,2012,Ghana,-97.305428384565076,206
Jul.,2012,Ghana,-99.144842330304655,80
Jun.,2012,Ghana,-99.309245483528159,52
May,2012,Ghana,-99.241363211951452,65
Apr.,2012,Ghana,-99.604372722540347,38
Mar.,2012,Ghana,-99.397975006841193,66
Feb.,2012,Ghana,-98.660423982312395,103
Jan.,2012,Ghana,-98.630136986301366,87
Dec.,2012,Germany,27903.846153846156,7281
Nov.,2012,Germany,35367.741935483871,10995
Oct.,2012,Germany,42870,12891
Sep.,2012,Germany,37037.037037037036,10027
Aug.,2012,Germany,58707.692307692312,7645
Jul.,2012,Germany,23287.5,9355
Jun.,2012,Germany,8653.4883720930247,7528
May,2012,Germany,18940,8568
Apr.,2012,Germany,79941.666666666657,9605
Mar.,2012,Germany,45579.166666666672,10963
Feb.,2012,Germany,24703.225806451614,7689
Jan.,2012,Germany,48753.846153846156,6351
Dec.,2012,Georgia,1200,26
Nov.,2012,Georgia,933.33333333333337,31
Oct.,2012,Georgia,150,30
Sep.,2012,Georgia,800,27
Aug.,2012,Georgia,225,13
Jul.,2012,Georgia,,40
Jun.,2012,Georgia,8500,86
May,2012,Georgia,650,45
Apr.,2012,Georgia,1100,12
Mar.,2012,Georgia,500,24
Feb.,2012,Georgia,,31
Jan.,2012,Georgia,550,13
Dec.,2012,Gambia,-86.666666666666671,2
Nov.,2012,Gambia,-76.923076923076934,3
Oct.,2012,Gambia,-57.142857142857139,12
Sep.,2012,Gambia,-50,3
Aug.,2012,Gambia,-50,4
Jul.,2012,Gambia,-100,0
Jun.,2012,Gambia,-75,1
May,2012,Gambia,-14.285714285714285,6
Apr.,2012,Gambia,-75,1
Mar.,2012,Gambia,-55.555555555555557,4
Feb.,2012,Gambia,-100,0
Jan.,2012,Gambia,-33.333333333333329,2
Dec.,2012,Gabon,-99.853758408891494,15
Nov.,2012,Gabon,-99.879372738238843,13
Oct.,2012,Gabon,-99.806456072440724,28
Sep.,2012,Gabon,-99.944766639049988,6
Aug.,2012,Gabon,-99.92956506427187,8
Jul.,2012,Gabon,-99.948059657193738,7
Jun.,2012,Gabon,-99.953847928925811,4
May,2012,Gabon,-99.929831595829981,7
Apr.,2012,Gabon,-99.972331742408528,4
Mar.,2012,Gabon,-99.91538172245204,9
Feb.,2012,Gabon,-99.94865870876653,4
Jan.,2012,Gabon,-99.960967993754878,3
Dec.,2012,France,727.84503631961263,10257
Nov.,2012,France,720.16742770167423,10777
Oct.,2012,France,861.90159574468089,14467
Sep.,2012,France,891.14963503649631,10863
Aug.,2012,France,1189.2167990919409,11358
Jul.,2012,France,901.26300148588405,13477
Jun.,2012,France,453.44827586206895,8667
May,2012,France,707.11974110032361,9976
Apr.,2012,France,786.38871857755976,14457
Mar.,2012,France,586.63653970303415,10636
Feb.,2012,France,563.62862010221465,7791
Jan.,2012,France,674.01812688821747,7686
Dec.,2012,Finland,2481.25,1239
Nov.,2012,Finland,1675.6756756756758,1314
Oct.,2012,Finland,2079.7101449275365,1504
Sep.,2012,Finland,1612.5,1096
Aug.,2012,Finland,1735.4166666666667,881
Jul.,2012,Finland,2106.5573770491801,1346
Jun.,2012,Finland,2016.2162162162163,1566
May,2012,Finland,1548,1236
Apr.,2012,Finland,3524.4444444444448,1631
Mar.,2012,Finland,1885.8974358974358,1549
Feb.,2012,Finland,3687.0967741935478,1174
Jan.,2012,Finland,2156.8181818181815,993
Dec.,2012,Fiji,100,48
Nov.,2012,Fiji,105.55555555555556,74
Oct.,2012,Fiji,2.9850746268656714,69
Sep.,2012,Fiji,-20.987654320987652,64
Aug.,2012,Fiji,-9.433962264150944,48
Jul.,2012,Fiji,84.848484848484844,61
Jun.,2012,Fiji,89.743589743589752,74
May,2012,Fiji,74.418604651162795,75
Apr.,2012,Fiji,2.272727272727273,45
Mar.,2012,Fiji,136.36363636363635,78
Feb.,2012,Fiji,-26.190476190476193,31
Jan.,2012,Fiji,-4.3478260869565215,44
Dec.,2012,Ethiopia,700,24
Nov.,2012,Ethiopia,414.28571428571433,36
Oct.,2012,Ethiopia,272.22222222222223,67
Sep.,2012,Ethiopia,800,81
Aug.,2012,Ethiopia,1666.6666666666667,53
Jul.,2012,Ethiopia,725,33
Jun.,2012,Ethiopia,1200,39
May,2012,Ethiopia,4200,43
Apr.,2012,Ethiopia,4300,44
Mar.,2012,Ethiopia,450,33
Feb.,2012,Ethiopia,950,42
Jan.,2012,Ethiopia,1050,46
Dec.,2012,Eswatini,-95.081967213114751,3
Nov.,2012,Eswatini,-93.45794392523365,7
Oct.,2012,Eswatini,-87.671232876712324,18
Sep.,2012,Eswatini,-90.425531914893625,9
Aug.,2012,Eswatini,-96.05263157894737,3
Jul.,2012,Eswatini,-95.454545454545453,4
Jun.,2012,Eswatini,-95.3125,3
May,2012,Eswatini,-98.86363636363636,1
Apr.,2012,Eswatini,-99.519230769230774,1
Mar.,2012,Eswatini,-94.285714285714278,6
Feb.,2012,Eswatini,-89.189189189189193,4
Jan.,2012,Eswatini,-95,4
Dec.,2012,Estonia,662.5,61
Nov.,2012,Estonia,1683.3333333333333,107
Oct.,2012,Estonia,1116.6666666666665,146
Sep.,2012,Estonia,944.44444444444446,94
Aug.,2012,Estonia,2433.333333333333,76
Jul.,2012,Estonia,,88
Jun.,2012,Estonia,3100,64
May,2012,Estonia,2833.333333333333,88
Apr.,2012,Estonia,10300,208
Mar.,2012,Estonia,3400,105
Feb.,2012,Estonia,1750,37
Jan.,2012,Estonia,3900,80
Dec.,2012,Eritrea,,8
Nov.,2012,Eritrea,500,6
Oct.,2012,Eritrea,-14.285714285714285,12
Sep.,2012,Eritrea,200,9
Aug.,2012,Eritrea,,3
Jul.,2012,Eritrea,-100,0
Jun.,2012,Eritrea,,2
May,2012,Eritrea,,3
Apr.,2012,Eritrea,,2
Mar.,2012,Eritrea,,3
Feb.,2012,Eritrea,100,2
Jan.,2012,Eritrea,100,2
Dec.,2012,Equatorial Guinea,-100,0
